"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 04:51:51 GMT 2024","Fri Jul 12 04:51:53 GMT 2024","1662","Allure Parent Suite","Allure Suite","Allure Sub Suite","","","TS1TC1: getting started should contain table of contents",""
"passed","Fri Jul 12 04:51:54 GMT 2024","Fri Jul 12 04:51:54 GMT 2024","579","Web","example.spec.ts","Test Suite 2","","","TS2TC1: getting started should contain table of contents",""
"passed","Fri Jul 12 04:51:54 GMT 2024","Fri Jul 12 04:51:56 GMT 2024","1680","Web","example.spec.ts","Test Suite 2","","","TS2TC2: should show Page Object Model article",""
"passed","Fri Jul 12 04:51:53 GMT 2024","Fri Jul 12 04:51:54 GMT 2024","836","Web","example.spec.ts","Test Suite 1","","","TS1TC2: should show Page Object Model article",""
