"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 18 15:50:29 GMT 2024","Sat May 18 15:50:30 GMT 2024","1571","Web","example.spec.ts","Test Suite 2","","","TS2TC2: should show Page Object Model article",""
"passed","Sat May 18 15:50:27 GMT 2024","Sat May 18 15:50:28 GMT 2024","811","Web","example.spec.ts","Test Suite 1","","","TS1TC2: should show Page Object Model article",""
"passed","Sat May 18 15:50:26 GMT 2024","Sat May 18 15:50:27 GMT 2024","892","Allure Parent Suite","Allure Suite","Allure Sub Suite","","","TS1TC1: getting started should contain table of contents",""
"passed","Sat May 18 15:50:28 GMT 2024","Sat May 18 15:50:29 GMT 2024","595","Web","example.spec.ts","Test Suite 2","","","TS2TC1: getting started should contain table of contents",""
