"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 04:12:57 GMT 2024","Fri Jul 12 04:13:00 GMT 2024","3232","Allure Parent Suite","Allure Suite","Allure Sub Suite","","","TS1TC1: getting started should contain table of contents",""
"passed","Fri Jul 12 04:13:00 GMT 2024","Fri Jul 12 04:13:01 GMT 2024","808","Web","example.spec.ts","Test Suite 1","","","TS1TC2: should show Page Object Model article",""
"passed","Fri Jul 12 04:13:02 GMT 2024","Fri Jul 12 04:13:04 GMT 2024","2055","Web","example.spec.ts","Test Suite 2","","","TS2TC2: should show Page Object Model article",""
"passed","Fri Jul 12 04:13:01 GMT 2024","Fri Jul 12 04:13:02 GMT 2024","937","Web","example.spec.ts","Test Suite 2","","","TS2TC1: getting started should contain table of contents",""
