"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 18 15:40:22 GMT 2024","Sat May 18 15:40:23 GMT 2024","821","Web","example.spec.ts","Test Suite 1","","","TS1TC2: should show Page Object Model article",""
"passed","Sat May 18 15:40:19 GMT 2024","Sat May 18 15:40:22 GMT 2024","2766","Allure Parent Suite","Allure Suite","Allure Sub Suite","","","TS1TC1: getting started should contain table of contents",""
"failed","Sat May 18 15:40:36 GMT 2024","Sat May 18 15:40:41 GMT 2024","5802","Web","example.spec.ts","Test Suite 2","","","TS2TC1: getting started should contain table of contents",""
"passed","Sat May 18 15:40:42 GMT 2024","Sat May 18 15:40:44 GMT 2024","1809","Web","example.spec.ts","Test Suite 2","","","TS2TC2: should show Page Object Model article",""
