"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 12 04:14:20 GMT 2024","Fri Jul 12 04:14:21 GMT 2024","1077","Web","example.spec.ts","Test Suite 2","","","TS2TC1: getting started should contain table of contents",""
"passed","Fri Jul 12 04:14:21 GMT 2024","Fri Jul 12 04:14:23 GMT 2024","1794","Web","example.spec.ts","Test Suite 2","","","TS2TC2: should show Page Object Model article",""
"passed","Fri Jul 12 04:14:19 GMT 2024","Fri Jul 12 04:14:20 GMT 2024","875","Web","example.spec.ts","Test Suite 1","","","TS1TC2: should show Page Object Model article",""
"passed","Fri Jul 12 04:14:17 GMT 2024","Fri Jul 12 04:14:19 GMT 2024","1805","Allure Parent Suite","Allure Suite","Allure Sub Suite","","","TS1TC1: getting started should contain table of contents",""
